wk,vs,team1,spread,avgdiff1,team2,avgdiff2,cover1
3,DAL-WAS,DAL,-4.5,-17,WAS,-4,1
4,DAL-NYG,DAL,-7,-19,NYG,13.666666666666666,1
5,DAL-GB,DAL,-7,-18.5,GB,-0.5,1
6,DAL-SF,DAL,-14,-18.4,SF,4.6,1
7,DAL-KC,DAL,-9,-18.166666666666668,KC,-5,0
8,DAL-PHX,DAL,-4,-16.714285714285715,PHX,-3.7142857142857144,1
9,DAL-WAS,DAL,-14,-15.75,WAS,0.875,0
10,DAL-PHX,DAL,-7,-12.88888888888889,PHX,-2.6666666666666665,0
11,DAL-MIA,DAL,-6.5,-12,MIA,-1.5,0
12,DAL-PHA,DAL,-6,-11.181818181818182,PHA,1.5454545454545454,1
13,DAL-LAN,DAL,-9.5,-12.5,LAN,4.416666666666667,0
14,DAL-PHA,DAL,-12,-11.846153846153847,PHA,3.923076923076923,0
15,DAL-NYG,DAL,-12,-11.714285714285714,NYG,4.571428571428571,1
16,DAL-GB,DAL,-7,-11.933333333333334,GB,-0.26666666666666666,1
